SNR_dB,Accuracy,Accuracy_percent
-10,0.34444444444444444,34.44444444444444
-4,0.82,82.0
0,0.8833333333333333,88.33333333333333
4,0.9033333333333333,90.33333333333333
10,0.9133333333333333,91.33333333333333
16,0.8888888888888888,88.88888888888889
20,0.8822222222222222,88.22222222222223
