,precision,recall,f1-score,support
OOK,0.9678988326848249,0.9476190476190476,0.9576515880654476,1050.0
BPSK,0.8781869688385269,0.8857142857142857,0.8819345661450925,1050.0
QPSK,0.869605142332415,0.9019047619047619,0.8854604955586722,1050.0
AM-DSB-WC,0.5633598841419262,0.7409523809523809,0.6400658165364048,1050.0
AM-DSB-SC,0.7101910828025477,0.4247619047619048,0.531585220500596,1050.0
FM,0.8753363228699551,0.9295238095238095,0.9016166281755197,1050.0
accuracy,0.8050793650793651,0.8050793650793651,0.8050793650793651,0.8050793650793651
macro avg,0.8107630389450327,0.8050793650793651,0.7997190524969554,6300.0
weighted avg,0.8107630389450327,0.8050793650793651,0.7997190524969555,6300.0
