,OOK,BPSK,QPSK,AM-DSB-WC,AM-DSB-SC,FM
OOK,0.9476190476190476,0.02,0.013333333333333334,0.006666666666666667,0.0038095238095238095,0.008571428571428572
BPSK,0.007619047619047619,0.8857142857142857,0.047619047619047616,0.021904761904761906,0.008571428571428572,0.02857142857142857
QPSK,0.004761904761904762,0.03428571428571429,0.9019047619047619,0.030476190476190476,0.0,0.02857142857142857
AM-DSB-WC,0.004761904761904762,0.02666666666666667,0.02857142857142857,0.7409523809523809,0.1580952380952381,0.040952380952380955
AM-DSB-SC,0.006666666666666667,0.025714285714285714,0.02857142857142857,0.48857142857142855,0.4247619047619048,0.025714285714285714
FM,0.007619047619047619,0.01619047619047619,0.017142857142857144,0.02666666666666667,0.002857142857142857,0.9295238095238095
