SNR_dB,OOK,BPSK,QPSK,AM-DSB-WC,AM-DSB-SC,FM
-10,63.33333333333333,28.000000000000004,34.66666666666667,24.0,6.0,50.66666666666667
-4,100.0,92.0,97.33333333333334,75.33333333333333,27.333333333333332,100.0
0,100.0,100.0,99.33333333333333,88.0,42.66666666666667,100.0
4,100.0,100.0,100.0,87.33333333333333,54.666666666666664,100.0
10,100.0,100.0,100.0,86.0,62.0,100.0
16,100.0,100.0,100.0,80.66666666666666,52.666666666666664,100.0
20,100.0,100.0,100.0,77.33333333333333,52.0,100.0
