epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7922788858413696,0.41832053661346436,0.8026984333992004,0.40844598412513733,6.25000029685907e-05
1,0.7897619009017944,0.41899314522743225,0.8057143092155457,0.40761062502861023,6.25000029685907e-05
2,0.7922108769416809,0.41808339953422546,0.8063492178916931,0.40727388858795166,6.25000029685907e-05
3,0.7914285659790039,0.41839200258255005,0.800000011920929,0.40640679001808167,6.25000029685907e-05
4,0.7912585139274597,0.4187386631965637,0.8046031594276428,0.40619441866874695,6.25000029685907e-05
5,0.7922788858413696,0.41806620359420776,0.8049206137657166,0.4075416624546051,6.25000029685907e-05
6,0.7921428680419922,0.41710183024406433,0.8077777624130249,0.4054073691368103,6.25000029685907e-05
7,0.794931948184967,0.4168521463871002,0.8053968548774719,0.40473705530166626,6.25000029685907e-05
8,0.7952041029930115,0.41720372438430786,0.8017460107803345,0.4051646888256073,6.25000029685907e-05
9,0.7937074899673462,0.4176028370857239,0.8033333420753479,0.4065082371234894,6.25000029685907e-05
10,0.7937074899673462,0.41548851132392883,0.8052380681037903,0.404742032289505,3.125000148429535e-05
11,0.7923129200935364,0.41386711597442627,0.8079364895820618,0.40458783507347107,3.125000148429535e-05
12,0.7962925434112549,0.4130608141422272,0.8098412752151489,0.40572068095207214,3.125000148429535e-05
13,0.794319748878479,0.4148538112640381,0.8096825480461121,0.40437644720077515,3.125000148429535e-05
14,0.7962244749069214,0.41300296783447266,0.8098412752151489,0.40334150195121765,3.125000148429535e-05
15,0.7942516803741455,0.4142555892467499,0.803174614906311,0.40390804409980774,3.125000148429535e-05
16,0.7965306043624878,0.4129796028137207,0.808571457862854,0.40347492694854736,3.125000148429535e-05
17,0.7979251742362976,0.4134446680545807,0.8063492178916931,0.40320059657096863,1.5625000742147677e-05
18,0.7979931831359863,0.41153526306152344,0.8077777624130249,0.40303707122802734,1.5625000742147677e-05
19,0.797448992729187,0.41121700406074524,0.8077777624130249,0.4029117822647095,1.5625000742147677e-05
20,0.7955442070960999,0.4124569296836853,0.8060317635536194,0.4028196632862091,1.5625000742147677e-05
21,0.7998979687690735,0.40963950753211975,0.8068253993988037,0.40327322483062744,1.5625000742147677e-05
22,0.7997279167175293,0.4115631878376007,0.8068253993988037,0.4025009572505951,7.812500371073838e-06
23,0.7940136194229126,0.4138046205043793,0.8071428537368774,0.40307170152664185,7.812500371073838e-06
24,0.8015986680984497,0.4092632234096527,0.8055555820465088,0.4023849070072174,7.812500371073838e-06
25,0.7970408201217651,0.41258713603019714,0.8079364895820618,0.4026431143283844,7.812500371073838e-06
26,0.7993537187576294,0.409114271402359,0.8046031594276428,0.40241819620132446,7.812500371073838e-06
27,0.7972789406776428,0.4117511212825775,0.8036507964134216,0.40250611305236816,3.906250185536919e-06
28,0.796870768070221,0.41093891859054565,0.8049206137657166,0.4024690091609955,3.906250185536919e-06
29,0.7963265180587769,0.4108962416648865,0.8068253993988037,0.4025343060493469,1.9531250927684596e-06
